,Years,Region,Carrier,Value
0,Y0,reg1,Final_electricity,1948028527.877509
1,Y1,reg1,Final_electricity,0.0
2,Y2,reg1,Final_electricity,0.0
3,Y3,reg1,Final_electricity,0.0
4,Y4,reg1,Final_electricity,0.0
5,Y5,reg1,Final_electricity,0.0
6,Y6,reg1,Final_electricity,0.0
7,Y7,reg1,Final_electricity,0.0
8,Y8,reg1,Final_electricity,0.0
9,Y9,reg1,Final_electricity,0.0
10,Y10,reg1,Final_electricity,0.0
11,Y11,reg1,Final_electricity,0.0
12,Y0,reg2,Final_electricity,272808899.5716548
13,Y1,reg2,Final_electricity,0.0
14,Y2,reg2,Final_electricity,1600525.8780701375
15,Y3,reg2,Final_electricity,2976327.8268209975
16,Y4,reg2,Final_electricity,6670860.98852339
17,Y5,reg2,Final_electricity,11786084.0605245
18,Y6,reg2,Final_electricity,18103951.733321737
19,Y7,reg2,Final_electricity,25643905.702907257
20,Y8,reg2,Final_electricity,45160322.81714337
21,Y9,reg2,Final_electricity,59468358.82229219
22,Y10,reg2,Final_electricity,49176500.133989885
23,Y11,reg2,Final_electricity,33811229.57899839
24,Y0,reg3,Final_electricity,343395929.81611925
25,Y1,reg3,Final_electricity,0.0
26,Y2,reg3,Final_electricity,0.0
27,Y3,reg3,Final_electricity,0.0
28,Y4,reg3,Final_electricity,0.0
29,Y5,reg3,Final_electricity,113418.08974455111
30,Y6,reg3,Final_electricity,1178438.427852178
31,Y7,reg3,Final_electricity,3127399.5712651946
32,Y8,reg3,Final_electricity,7797510.390835572
33,Y9,reg3,Final_electricity,15078333.883023977
34,Y10,reg3,Final_electricity,17103436.619613312
35,Y11,reg3,Final_electricity,2721994.836570222
