,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_supply,Coal,1065404553.081763
1,2020,reg1,Coal_supply,Coal,286535741.22108996
2,2021,reg1,Coal_supply,Coal,152603775.75873923
3,2022,reg1,Coal_supply,Coal,171620426.92123455
4,2023,reg1,Coal_supply,Coal,190897812.82737994
5,2024,reg1,Coal_supply,Coal,185645702.19937834
6,2025,reg1,Coal_supply,Coal,180614662.1990046
7,2026,reg1,Coal_supply,Coal,157024233.05853143
8,2027,reg1,Coal_supply,Coal,103021539.3320742
9,2028,reg1,Coal_supply,Coal,32399316.434367143
10,2029,reg1,Coal_supply,Coal,169654.8609836312
11,2030,reg1,Coal_supply,Coal,15245997.17663455
12,2019,reg1,Diesel_supply,Diesel,1509146.3438164135
13,2020,reg1,Diesel_supply,Diesel,32554.900621264613
14,2021,reg1,Diesel_supply,Diesel,0.0
15,2022,reg1,Diesel_supply,Diesel,32978.673143584936
16,2023,reg1,Diesel_supply,Diesel,62881.09765901723
17,2024,reg1,Diesel_supply,Diesel,62881.09765901723
18,2025,reg1,Diesel_supply,Diesel,62881.09765901723
19,2026,reg1,Diesel_supply,Diesel,53468.79978614656
20,2027,reg1,Diesel_supply,Diesel,6361.310090509618
21,2028,reg1,Diesel_supply,Diesel,0.0
22,2029,reg1,Diesel_supply,Diesel,21687.581548919312
23,2030,reg1,Diesel_supply,Diesel,63328.35043057821
24,2019,reg1,Oil_supply,Oil,1451264.3705117435
25,2020,reg1,Oil_supply,Oil,1451264.3705117435
26,2021,reg1,Oil_supply,Oil,1451264.3705117435
27,2022,reg1,Oil_supply,Oil,1451264.3705117435
28,2023,reg1,Oil_supply,Oil,1451264.3705117435
29,2024,reg1,Oil_supply,Oil,1451264.3705117435
30,2025,reg1,Oil_supply,Oil,1451264.3705117435
31,2026,reg1,Oil_supply,Oil,1366436.1487779845
32,2027,reg1,Oil_supply,Oil,1059560.1051114087
33,2028,reg1,Oil_supply,Oil,967509.5803411623
34,2029,reg1,Oil_supply,Oil,709336.1188028082
35,2030,reg1,Oil_supply,Oil,181408.04631396793
36,2019,reg1,Biofuel_supply,Biofuel,9733325.546672897
37,2020,reg1,Biofuel_supply,Biofuel,1413234284.6602068
38,2021,reg1,Biofuel_supply,Biofuel,1529488654.1981347
39,2022,reg1,Biofuel_supply,Biofuel,1494365471.9923625
40,2023,reg1,Biofuel_supply,Biofuel,1416330246.5572584
