,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_PP,Coal,1065404553.081763
1,2020,reg1,Coal_PP,Coal,1210396659.4215913
2,2021,reg1,Coal_PP,Coal,1271459414.3670633
3,2022,reg1,Coal_PP,Coal,1400547100.4552927
4,2023,reg1,Coal_PP,Coal,1529634786.5435224
5,2024,reg1,Coal_PP,Coal,1658722472.2766168
6,2025,reg1,Coal_PP,Coal,1787810158.3648462
7,2026,reg1,Coal_PP,Coal,1916897844.453076
8,2027,reg1,Coal_PP,Coal,2045985530.18617
9,2028,reg1,Coal_PP,Coal,2175073216.2743998
10,2029,reg1,Coal_PP,Coal,2304160902.007495
11,2030,reg1,Coal_PP,Coal,2433248588.095724
12,2019,reg1,Diesel_PP,Diesel,1460475.2602774785
13,2020,reg1,Diesel_PP,Diesel,1460475.2602774785
14,2021,reg1,Diesel_PP,Diesel,1460475.2602774785
15,2022,reg1,Diesel_PP,Diesel,1460475.2602774785
16,2023,reg1,Diesel_PP,Diesel,1460475.2602774785
17,2024,reg1,Diesel_PP,Diesel,1460475.2602774785
18,2025,reg1,Diesel_PP,Diesel,1460475.2602774785
19,2026,reg1,Diesel_PP,Diesel,1460475.2602774785
20,2027,reg1,Diesel_PP,Diesel,1460475.2602774785
21,2028,reg1,Diesel_PP,Diesel,1460475.2602774785
22,2029,reg1,Diesel_PP,Diesel,1460475.2602774785
23,2030,reg1,Diesel_PP,Diesel,1460475.2602774785
24,2019,reg1,HFO_PP,Oil,1451264.3705117432
25,2020,reg1,HFO_PP,Oil,1451264.3705117432
26,2021,reg1,HFO_PP,Oil,1583834.1102507054
27,2022,reg1,HFO_PP,Oil,1726787.2733784118
28,2023,reg1,HFO_PP,Oil,1869740.4365061186
29,2024,reg1,HFO_PP,Oil,2012693.5982516687
30,2025,reg1,HFO_PP,Oil,2155405.2861918444
31,2026,reg1,HFO_PP,Oil,2298358.4493195512
32,2027,reg1,HFO_PP,Oil,2441311.6110651013
33,2028,reg1,HFO_PP,Oil,2584264.774192808
34,2029,reg1,HFO_PP,Oil,2727217.9373205155
35,2030,reg1,HFO_PP,Oil,2869929.6238785344
36,2019,reg1,Bio_PP,Biofuel,9733325.546672896
37,2020,reg1,Bio_PP,Biofuel,9733325.546672896
