,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_PP,Coal,1065404553.081763
1,2020,reg1,Coal_PP,Coal,1065404553.081763
2,2021,reg1,Coal_PP,Coal,1065404553.081763
3,2022,reg1,Coal_PP,Coal,1065404553.081763
4,2023,reg1,Coal_PP,Coal,1065404553.081763
5,2024,reg1,Coal_PP,Coal,1065404553.081763
6,2025,reg1,Coal_PP,Coal,1065404553.081763
7,2026,reg1,Coal_PP,Coal,1065404553.081763
8,2027,reg1,Coal_PP,Coal,1065404553.081763
9,2028,reg1,Coal_PP,Coal,659535801.5243765
10,2029,reg1,Coal_PP,Coal,172098863.97700003
11,2030,reg1,Coal_PP,Coal,0.0
12,2019,reg1,Diesel_PP,Diesel,1460475.2602774785
13,2020,reg1,Diesel_PP,Diesel,1460475.2602774785
14,2021,reg1,Diesel_PP,Diesel,1460475.2602774785
15,2022,reg1,Diesel_PP,Diesel,1460475.2602774785
16,2023,reg1,Diesel_PP,Diesel,1460475.2602774785
17,2024,reg1,Diesel_PP,Diesel,1460475.2602774785
18,2025,reg1,Diesel_PP,Diesel,1460475.2602774785
19,2026,reg1,Diesel_PP,Diesel,1460475.2602774785
20,2027,reg1,Diesel_PP,Diesel,1460475.2602774785
21,2028,reg1,Diesel_PP,Diesel,1460475.2602774785
22,2029,reg1,Diesel_PP,Diesel,1460475.2602774785
23,2030,reg1,Diesel_PP,Diesel,720829.1226673207
24,2019,reg1,HFO_PP,Oil,1451264.3705117432
25,2020,reg1,HFO_PP,Oil,1451264.3705117432
26,2021,reg1,HFO_PP,Oil,1451264.3705117432
27,2022,reg1,HFO_PP,Oil,1451264.3705117432
28,2023,reg1,HFO_PP,Oil,1451264.3705117432
29,2024,reg1,HFO_PP,Oil,1451264.3705117432
30,2025,reg1,HFO_PP,Oil,1451264.3705117432
31,2026,reg1,HFO_PP,Oil,1451264.3705117432
32,2027,reg1,HFO_PP,Oil,1451264.3705117432
33,2028,reg1,HFO_PP,Oil,1451264.3705117432
34,2029,reg1,HFO_PP,Oil,1451264.3705117432
35,2030,reg1,HFO_PP,Oil,0.0
36,2019,reg1,Bio_PP,Biofuel,9733325.546672896
37,2020,reg1,Bio_PP,Biofuel,9733325.546672896
38,2021,reg1,Bio_PP,Biofuel,9733325.546672896
39,2022,reg1,Bio_PP,Biofuel,9733325.546672896
40,2023,reg1,Bio_PP,Biofuel,9733325.546672896
41,2024,reg1,Bio_PP,Biofuel,9733325.546672896
42,2025,reg1,Bio_PP,Biofuel,9733325.546672896
43,2026,reg1,Bio_PP,Biofuel,9733325.546672896
44,2027,reg1,Bio_PP,Biofuel,9733325.546672896
45,2028,reg1,Bio_PP,Biofuel,0.0
46,2029,reg1,Bio_PP,Biofuel,0.0
47,2030,reg1,Bio_PP,Biofuel,0.0
48,2019,reg1,Elec_distribution,Electricity,11010771501.64616
49,2020,reg1,Elec_distribution,Electricity,11010771501.64616
50,2021,reg1,Elec_distribution,Electricity,11010771501.64616
51,2022,reg1,Elec_distribution,Electricity,11345771263.14126
52,2023,reg1,Elec_distribution,Electricity,14743962167.020727
53,2024,reg1,Elec_distribution,Electricity,15236912620.481003
54,2025,reg1,Elec_distribution,Electricity,17721042501.885803
55,2026,reg1,Elec_distribution,Electricity,17721042501.885803
56,2027,reg1,Elec_distribution,Electricity,17721042501.885803
57,2028,reg1,Elec_distribution,Electricity,16684858780.463245
58,2029,reg1,Elec_distribution,Electricity,15482513372.637495
59,2030,reg1,Elec_distribution,Electricity,13760129709.337425
60,2019,reg2,Diesel_PP,Diesel,9082.98389987167
61,2020,reg2,Diesel_PP,Diesel,9082.98389987167
62,2021,reg2,Diesel_PP,Diesel,9082.98389987167
63,2022,reg2,Diesel_PP,Diesel,9082.98389987167
64,2023,reg2,Diesel_PP,Diesel,9082.98389987167
65,2024,reg2,Diesel_PP,Diesel,9082.98389987167
66,2025,reg2,Diesel_PP,Diesel,9082.98389987167
67,2026,reg2,Diesel_PP,Diesel,9082.98389987167
68,2027,reg2,Diesel_PP,Diesel,9082.98389987167
69,2028,reg2,Diesel_PP,Diesel,9082.98389987167
70,2029,reg2,Diesel_PP,Diesel,9082.98389987167
71,2030,reg2,Diesel_PP,Diesel,0.0
72,2019,reg2,Elec_distribution,Electricity,101064370.35729599
73,2020,reg2,Elec_distribution,Electricity,101064370.35729599
74,2021,reg2,Elec_distribution,Electricity,101064370.35729599
75,2022,reg2,Elec_distribution,Electricity,373778629.076736
76,2023,reg2,Elec_distribution,Electricity,889162877.530736
77,2024,reg2,Elec_distribution,Electricity,889162877.530736
78,2025,reg2,Elec_distribution,Electricity,889162877.530736
79,2026,reg2,Elec_distribution,Electricity,889162877.530736
80,2027,reg2,Elec_distribution,Electricity,889162877.530736
81,2028,reg2,Elec_distribution,Electricity,889162877.530736
82,2029,reg2,Elec_distribution,Electricity,889162877.530736
83,2030,reg2,Elec_distribution,Electricity,1113725227.17344
84,2019,reg3,Diesel_PP,Diesel,39588.099639063315
85,2020,reg3,Diesel_PP,Diesel,39588.099639063315
86,2021,reg3,Diesel_PP,Diesel,39588.099639063315
87,2022,reg3,Diesel_PP,Diesel,39588.099639063315
88,2023,reg3,Diesel_PP,Diesel,39588.099639063315
89,2024,reg3,Diesel_PP,Diesel,39588.099639063315
90,2025,reg3,Diesel_PP,Diesel,39588.099639063315
91,2026,reg3,Diesel_PP,Diesel,39588.099639063315
92,2027,reg3,Diesel_PP,Diesel,39588.099639063315
