,Years,Region,Carrier,Value
0,Y0,reg1,Final_electricity,0.0
1,Y1,reg1,Final_electricity,0.0
2,Y2,reg1,Final_electricity,0.0
3,Y3,reg1,Final_electricity,3652042.2589948773
4,Y4,reg1,Final_electricity,0.0
5,Y5,reg1,Final_electricity,0.0
6,Y6,reg1,Final_electricity,0.0
7,Y7,reg1,Final_electricity,0.0
8,Y8,reg1,Final_electricity,0.0
9,Y9,reg1,Final_electricity,0.0
10,Y10,reg1,Final_electricity,0.0
11,Y11,reg1,Final_electricity,0.0
12,Y0,reg2,Final_electricity,1644030857.4531631
13,Y1,reg2,Final_electricity,1821793849.9972038
14,Y2,reg2,Final_electricity,1921705159.143704
15,Y3,reg2,Final_electricity,1775059357.1096745
16,Y4,reg2,Final_electricity,1206418938.8331256
17,Y5,reg2,Final_electricity,1730908.203328386
18,Y6,reg2,Final_electricity,0.0
19,Y7,reg2,Final_electricity,0.0
20,Y8,reg2,Final_electricity,0.0
21,Y9,reg2,Final_electricity,0.0
22,Y10,reg2,Final_electricity,0.0
23,Y11,reg2,Final_electricity,0.0
24,Y0,reg3,Final_electricity,701816395.0845757
25,Y1,reg3,Final_electricity,1317582367.9289422
26,Y2,reg3,Final_electricity,1900687021.9622674
27,Y3,reg3,Final_electricity,2332441620.154477
28,Y4,reg3,Final_electricity,434135651.81837696
29,Y5,reg3,Final_electricity,91929031.40102181
30,Y6,reg3,Final_electricity,0.0
31,Y7,reg3,Final_electricity,0.0
32,Y8,reg3,Final_electricity,0.0
33,Y9,reg3,Final_electricity,0.0
34,Y10,reg3,Final_electricity,0.0
35,Y11,reg3,Final_electricity,0.0
